MatchDate:			 Date of the match.
zone_16_min:			 Minimum of <zone_16> (Value of player with ball in the final third (last 34 meters).). For <16th player>. During the whole duration of the events <attack>.
zone_16_minGreaterThanZero:	 Minimum of <zone_16> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <16th player>. During the whole duration of the events <attack>.
zone_16_max:			 Maximum of <zone_16> (Value of player with ball in the final third (last 34 meters).). For <16th player>. During the whole duration of the events <attack>.
zone_17_avg:			 Average of <zone_17> (Value of player with ball in the final third (last 34 meters).). For <17th player>. During the whole duration of the events <attack>.
zone_17_avgGreaterThanZero:	 Average of <zone_17> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <17th player>. During the whole duration of the events <attack>.
zone_17_std:			 Standard Deviation of <zone_17> (Value of player with ball in the final third (last 34 meters).). For <17th player>. During the whole duration of the events <attack>.
zone_17_min:			 Minimum of <zone_17> (Value of player with ball in the final third (last 34 meters).). For <17th player>. During the whole duration of the events <attack>.
zone_17_minGreaterThanZero:	 Minimum of <zone_17> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <17th player>. During the whole duration of the events <attack>.
zone_17_max:			 Maximum of <zone_17> (Value of player with ball in the final third (last 34 meters).). For <17th player>. During the whole duration of the events <attack>.
zone_18_avg:			 Average of <zone_18> (Value of player with ball in the final third (last 34 meters).). For <18th player>. During the whole duration of the events <attack>.
zone_18_avgGreaterThanZero:	 Average of <zone_18> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <18th player>. During the whole duration of the events <attack>.
zone_18_std:			 Standard Deviation of <zone_18> (Value of player with ball in the final third (last 34 meters).). For <18th player>. During the whole duration of the events <attack>.
zone_18_min:			 Minimum of <zone_18> (Value of player with ball in the final third (last 34 meters).). For <18th player>. During the whole duration of the events <attack>.
zone_18_minGreaterThanZero:	 Minimum of <zone_18> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <18th player>. During the whole duration of the events <attack>.
zone_18_max:			 Maximum of <zone_18> (Value of player with ball in the final third (last 34 meters).). For <18th player>. During the whole duration of the events <attack>.
zone_19_avg:			 Average of <zone_19> (Value of player with ball in the final third (last 34 meters).). For <19th player>. During the whole duration of the events <attack>.
zone_19_avgGreaterThanZero:	 Average of <zone_19> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <19th player>. During the whole duration of the events <attack>.
zone_19_std:			 Standard Deviation of <zone_19> (Value of player with ball in the final third (last 34 meters).). For <19th player>. During the whole duration of the events <attack>.
zone_19_min:			 Minimum of <zone_19> (Value of player with ball in the final third (last 34 meters).). For <19th player>. During the whole duration of the events <attack>.
zone_19_minGreaterThanZero:	 Minimum of <zone_19> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <19th player>. During the whole duration of the events <attack>.
zone_19_max:			 Maximum of <zone_19> (Value of player with ball in the final third (last 34 meters).). For <19th player>. During the whole duration of the events <attack>.
zone_20_avg:			 Average of <zone_20> (Value of player with ball in the final third (last 34 meters).). For <20th player>. During the whole duration of the events <attack>.
zone_20_avgGreaterThanZero:	 Average of <zone_20> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <20th player>. During the whole duration of the events <attack>.
zone_20_std:			 Standard Deviation of <zone_20> (Value of player with ball in the final third (last 34 meters).). For <20th player>. During the whole duration of the events <attack>.
zone_20_min:			 Minimum of <zone_20> (Value of player with ball in the final third (last 34 meters).). For <20th player>. During the whole duration of the events <attack>.
zone_20_minGreaterThanZero:	 Minimum of <zone_20> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <20th player>. During the whole duration of the events <attack>.
zone_20_max:			 Maximum of <zone_20> (Value of player with ball in the final third (last 34 meters).). For <20th player>. During the whole duration of the events <attack>.
zone_21_avg:			 Average of <zone_21> (Value of player with ball in the final third (last 34 meters).). For <21th player>. During the whole duration of the events <attack>.
zone_21_avgGreaterThanZero:	 Average of <zone_21> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <21th player>. During the whole duration of the events <attack>.
zone_21_std:			 Standard Deviation of <zone_21> (Value of player with ball in the final third (last 34 meters).). For <21th player>. During the whole duration of the events <attack>.
zone_21_min:			 Minimum of <zone_21> (Value of player with ball in the final third (last 34 meters).). For <21th player>. During the whole duration of the events <attack>.
zone_21_minGreaterThanZero:	 Minimum of <zone_21> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <21th player>. During the whole duration of the events <attack>.
zone_21_max:			 Maximum of <zone_21> (Value of player with ball in the final third (last 34 meters).). For <21th player>. During the whole duration of the events <attack>.
zone_22_avg:			 Average of <zone_22> (Value of player with ball in the final third (last 34 meters).). For <22th player>. During the whole duration of the events <attack>.
zone_22_avgGreaterThanZero:	 Average of <zone_22> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <22th player>. During the whole duration of the events <attack>.
zone_22_std:			 Standard Deviation of <zone_22> (Value of player with ball in the final third (last 34 meters).). For <22th player>. During the whole duration of the events <attack>.
zone_22_min:			 Minimum of <zone_22> (Value of player with ball in the final third (last 34 meters).). For <22th player>. During the whole duration of the events <attack>.
zone_22_minGreaterThanZero:	 Minimum of <zone_22> (Value of player with ball in the final third (last 34 meters).) with only values greater than zero. For <22th player>. During the whole duration of the events <attack>.
zone_22_max:			 Maximum of <zone_22> (Value of player with ball in the final third (last 34 meters).). For <22th player>. During the whole duration of the events <attack>.
inZone_avg:			 Average of <inZone> (Is player with ball in the final third (last 34 meters)?). For <playerRows>. During the whole duration of the events <attack>.
inZone_avgGreaterThanZero:	 Average of <inZone> (Is player with ball in the final third (last 34 meters)?) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
inZone_std:			 Standard Deviation of <inZone> (Is player with ball in the final third (last 34 meters)?). For <playerRows>. During the whole duration of the events <attack>.
inZone_min:			 Minimum of <inZone> (Is player with ball in the final third (last 34 meters)?). For <playerRows>. During the whole duration of the events <attack>.
inZone_minGreaterThanZero:	 Minimum of <inZone> (Is player with ball in the final third (last 34 meters)?) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
inZone_max:			 Maximum of <inZone> (Is player with ball in the final third (last 34 meters)?). For <playerRows>. During the whole duration of the events <attack>.
inZone_avg_perTimePerPlayer_ref_avg:	 Average of <inZone_avg_perTimePerPlayer_ref> (Is player with ball in the final third (last 34 meters)?). For <refTeam>. During the whole duration of the events <attack>.
inZone_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <inZone_avg_perTimePerPlayer_ref> (Is player with ball in the final third (last 34 meters)?) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
inZone_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <inZone_avg_perTimePerPlayer_ref> (Is player with ball in the final third (last 34 meters)?). For <refTeam>. During the whole duration of the events <attack>.
inZone_avg_perTimePerPlayer_ref_min:	 Minimum of <inZone_avg_perTimePerPlayer_ref> (Is player with ball in the final third (last 34 meters)?). For <refTeam>. During the whole duration of the events <attack>.
inZone_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <inZone_avg_perTimePerPlayer_ref> (Is player with ball in the final third (last 34 meters)?) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
